date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,101.55,102.65,100.3,100.95,11794865
2025-04-02 00:00:00+05:30,101.55,103.6,100.35,102.7,15972735
2025-04-03 00:00:00+05:30,102.0,107.6,101.6,105.75,41657105
2025-04-04 00:00:00+05:30,105.6,108.0,104.35,106.5,44705885
2025-04-07 00:00:00+05:30,92.4,103.0,92.4,102.0,39423010
2025-04-08 00:00:00+05:30,105.0,105.1,101.6,102.7,19084945
2025-04-09 00:00:00+05:30,102.6,102.8,101.0,101.7,9316855
2025-04-11 00:00:00+05:30,103.75,104.85,102.85,103.65,15982600
2025-04-15 00:00:00+05:30,105.2,110.9,104.5,108.45,40275730
2025-04-16 00:00:00+05:30,108.6,109.55,107.6,109.1,13507195
2025-04-17 00:00:00+05:30,109.55,112.25,108.45,109.95,32955080
2025-04-21 00:00:00+05:30,110.25,117.1,109.8,113.8,49675500
2025-04-22 00:00:00+05:30,114.8,115.95,113.75,114.65,19810145
2025-04-23 00:00:00+05:30,115.4,116.85,114.8,115.9,21212725
2025-04-24 00:00:00+05:30,116.0,117.0,114.25,115.15,14521505
2025-04-25 00:00:00+05:30,115.4,117.1,108.85,109.85,38828540
2025-04-28 00:00:00+05:30,109.6,111.5,108.25,110.55,19832845
2025-04-29 00:00:00+05:30,111.6,112.4,109.25,109.75,14598175
2025-04-30 00:00:00+05:30,109.95,110.35,105.25,106.4,26027090
2025-05-02 00:00:00+05:30,105.9,108.7,104.6,105.05,21543170
2025-05-05 00:00:00+05:30,105.6,116.85,105.1,111.3,136045365
2025-05-06 00:00:00+05:30,112.0,113.1,106.5,107.2,40326215
2025-05-07 00:00:00+05:30,104.2,107.8,104.2,106.4,30004955
2025-05-08 00:00:00+05:30,107.2,108.4,103.0,104.05,26223815
2025-05-09 00:00:00+05:30,101.0,103.2,101.0,102.4,21353120
2025-05-12 00:00:00+05:30,109.0,110.55,108.3,109.3,32049350
2025-05-13 00:00:00+05:30,109.3,109.45,107.2,107.75,27788610
2025-05-14 00:00:00+05:30,108.55,108.7,107.15,107.95,17970600
2025-05-15 00:00:00+05:30,108.5,109.25,107.45,108.6,17751625
2025-05-16 00:00:00+05:30,109.0,113.95,108.6,113.1,49525610
2025-05-19 00:00:00+05:30,113.3,114.6,111.85,112.45,18979610
2025-05-20 00:00:00+05:30,112.8,113.5,110.55,111.25,17156030
2025-05-21 00:00:00+05:30,111.2,112.2,109.35,110.25,13376865
2025-05-22 00:00:00+05:30,110.3,112.15,109.85,110.75,14943250
2025-05-23 00:00:00+05:30,111.2,112.1,110.2,110.65,12026850
2025-05-26 00:00:00+05:30,111.4,114.0,111.25,111.7,19173970
2025-05-27 00:00:00+05:30,112.0,112.05,109.95,110.5,13868320
2025-05-28 00:00:00+05:30,111.0,113.4,106.15,110.15,24560695
2025-05-29 00:00:00+05:30,110.75,111.75,110.2,110.4,12881605
2025-05-30 00:00:00+05:30,110.6,111.1,108.2,108.75,15370475
2025-06-02 00:00:00+05:30,109.4,112.0,109.0,111.0,17794610
2025-06-03 00:00:00+05:30,110.5,110.65,108.6,108.9,12927105
2025-06-04 00:00:00+05:30,109.5,110.0,107.7,109.05,13008395
2025-06-05 00:00:00+05:30,109.55,110.75,109.3,109.55,9616705
2025-06-06 00:00:00+05:30,110.15,112.8,109.8,111.05,20056905
2025-06-09 00:00:00+05:30,111.95,114.8,111.25,112.6,23617970
2025-06-10 00:00:00+05:30,113.55,122.1,112.5,119.2,150425895
2025-06-11 00:00:00+05:30,120.55,121.0,116.6,117.4,43819250
2025-06-12 00:00:00+05:30,117.4,117.75,113.1,113.45,25698510
2025-06-13 00:00:00+05:30,111.1,115.7,109.85,114.2,29630645
2025-06-16 00:00:00+05:30,113.6,114.4,111.0,112.6,13945785
2025-06-17 00:00:00+05:30,112.9,114.2,111.4,111.65,9820175
2025-06-18 00:00:00+05:30,111.6,112.05,110.0,110.15,10063160
2025-06-19 00:00:00+05:30,110.2,111.75,106.5,107.3,13568940
2025-06-20 00:00:00+05:30,107.6,109.1,105.4,106.05,47738495
2025-06-23 00:00:00+05:30,106.0,108.3,105.65,107.6,15234695
2025-06-24 00:00:00+05:30,109.0,110.4,107.75,109.35,20572930
2025-06-25 00:00:00+05:30,109.85,111.8,109.75,111.4,17171020
2025-06-26 00:00:00+05:30,111.8,116.1,111.6,115.65,30618905
2025-06-27 00:00:00+05:30,116.0,121.35,114.85,116.85,78220455
2025-06-30 00:00:00+05:30,117.9,119.45,116.45,117.15,22731315
2025-07-01 00:00:00+05:30,117.7,121.4,117.3,118.3,40265290
2025-07-02 00:00:00+05:30,119.2,120.4,117.55,118.3,20389805
2025-07-03 00:00:00+05:30,119.0,119.25,117.0,117.6,18364010
2025-07-04 00:00:00+05:30,117.6,118.15,116.2,116.95,10892800
2025-07-07 00:00:00+05:30,116.95,120.0,115.75,119.45,21546290
2025-07-08 00:00:00+05:30,120.7,123.0,118.4,120.0,49616840
2025-07-09 00:00:00+05:30,120.5,122.0,119.3,120.45,27100765
2025-07-10 00:00:00+05:30,120.9,124.0,120.4,121.15,74692330
2025-07-11 00:00:00+05:30,121.4,122.4,120.05,120.8,20236400
2025-07-14 00:00:00+05:30,120.8,123.85,120.45,121.9,37017980
2025-07-15 00:00:00+05:30,122.6,123.2,121.15,121.6,19422015
2025-07-16 00:00:00+05:30,122.0,122.85,120.6,120.95,18549555
2025-07-17 00:00:00+05:30,121.5,121.75,119.5,119.75,17579230
2025-07-18 00:00:00+05:30,119.7,119.9,117.7,118.95,15522320
2025-07-21 00:00:00+05:30,119.2,120.7,118.2,119.3,10219500
2025-07-22 00:00:00+05:30,119.8,120.3,117.4,118.1,10394955
2025-07-23 00:00:00+05:30,118.55,119.25,117.45,117.8,9600185
2025-07-24 00:00:00+05:30,118.15,118.6,116.65,117.15,8155545
2025-07-25 00:00:00+05:30,116.8,116.9,113.6,114.0,11502865
2025-07-28 00:00:00+05:30,113.95,115.4,112.2,114.15,13411220
2025-07-29 00:00:00+05:30,114.0,118.95,113.25,118.5,25852680
2025-07-30 00:00:00+05:30,118.8,120.45,117.4,117.95,14559345
2025-07-31 00:00:00+05:30,116.0,118.4,115.45,117.6,12731180
2025-08-01 00:00:00+05:30,117.6,118.6,112.8,113.4,31074800
2025-08-04 00:00:00+05:30,113.4,117.55,112.85,116.8,13675050
2025-08-05 00:00:00+05:30,116.8,116.8,115.15,115.9,7599355
2025-08-06 00:00:00+05:30,116.0,116.4,113.1,113.5,7604560
2025-08-07 00:00:00+05:30,112.2,116.4,110.45,115.8,35743505
2025-08-08 00:00:00+05:30,116.4,116.65,114.8,115.4,12842060
2025-08-11 00:00:00+05:30,115.4,119.8,114.25,118.8,15152450
2025-08-12 00:00:00+05:30,119.05,119.7,117.85,118.3,11412935
2025-08-13 00:00:00+05:30,118.95,118.95,116.7,117.1,9023465
2025-08-14 00:00:00+05:30,117.4,117.9,116.2,116.8,4808835
2025-08-18 00:00:00+05:30,118.0,120.3,117.3,119.75,16063980
2025-08-19 00:00:00+05:30,119.8,121.6,119.25,121.2,14088205
2025-08-20 00:00:00+05:30,120.8,121.45,119.0,120.0,7009015
2025-08-21 00:00:00+05:30,120.2,120.8,119.05,119.25,4971675
2025-08-22 00:00:00+05:30,119.4,120.6,118.4,118.85,6382785
2025-08-25 00:00:00+05:30,119.05,121.6,118.0,121.15,13437945
