date,open,high,low,close,volume
2025-05-14 00:00:00+05:30,1600.0,1628.0,1591.2,1628.0,181335
2025-05-15 00:00:00+05:30,1709.4,1709.4,1709.4,1709.4,113496
2025-05-16 00:00:00+05:30,1794.8,1794.8,1717.9,1794.8,1021058
2025-05-19 00:00:00+05:30,1884.5,1884.5,1884.5,1884.5,1046370
2025-05-20 00:00:00+05:30,1978.6,1978.7,1820.1,1901.2,2854558
2025-05-21 00:00:00+05:30,1880.2,1914.9,1815.0,1881.7,832313
2025-05-22 00:00:00+05:30,1881.7,1904.4,1835.0,1888.8,459886
2025-05-23 00:00:00+05:30,1936.9,1936.9,1857.0,1892.0,376547
2025-05-26 00:00:00+05:30,1899.0,1920.8,1874.2,1877.8,325549
2025-05-27 00:00:00+05:30,1889.8,1971.6,1870.2,1917.8,826954
2025-05-28 00:00:00+05:30,1934.5,2013.6,1903.3,2013.6,939739
2025-05-29 00:00:00+05:30,2061.9,2114.2,2055.0,2114.2,795861
2025-05-30 00:00:00+05:30,2190.0,2218.0,2114.2,2139.8,933328
2025-06-02 00:00:00+05:30,2140.0,2150.0,2032.9,2117.7,577485
2025-06-03 00:00:00+05:30,2138.0,2180.0,2121.0,2147.4,471465
2025-06-04 00:00:00+05:30,2164.0,2248.0,2150.1,2229.6,766339
2025-06-05 00:00:00+05:30,2268.0,2268.0,2182.0,2193.0,593893
2025-06-06 00:00:00+05:30,2218.0,2218.0,2083.4,2083.4,1159110
2025-06-09 00:00:00+05:30,2035.0,2105.0,2000.0,2013.7,663906
2025-06-10 00:00:00+05:30,2030.9,2057.9,2002.8,2031.6,453875
2025-06-11 00:00:00+05:30,2041.7,2048.4,1930.1,1953.1,880269
2025-06-12 00:00:00+05:30,1953.0,1985.0,1900.0,1904.0,375825
2025-06-13 00:00:00+05:30,1830.0,1999.2,1826.8,1975.1,1339012
2025-06-16 00:00:00+05:30,1995.0,1996.9,1917.0,1973.0,486327
2025-06-17 00:00:00+05:30,1974.9,1998.9,1933.1,1949.2,561104
2025-06-18 00:00:00+05:30,1955.0,1983.0,1923.3,1937.6,425306
2025-06-19 00:00:00+05:30,1937.6,1953.9,1878.0,1894.1,444809
2025-06-20 00:00:00+05:30,1894.1,1943.9,1878.1,1899.7,630848
2025-06-23 00:00:00+05:30,1906.1,1994.6,1886.0,1994.6,1459563
2025-06-24 00:00:00+05:30,2057.6,2065.0,1902.3,1936.0,1365889
2025-06-25 00:00:00+05:30,1945.9,1949.0,1880.0,1895.0,590166
2025-06-26 00:00:00+05:30,1909.9,1924.0,1889.9,1897.9,283803
2025-06-27 00:00:00+05:30,1901.9,1942.0,1892.4,1923.9,576638
2025-06-30 00:00:00+05:30,1960.0,2005.0,1940.0,1981.3,820226
2025-07-01 00:00:00+05:30,1992.2,2026.3,1965.1,1978.0,362923
2025-07-02 00:00:00+05:30,1978.1,1987.8,1928.0,1952.5,268635
2025-07-03 00:00:00+05:30,1957.9,1962.0,1922.0,1925.4,241989
2025-07-04 00:00:00+05:30,1940.0,1991.1,1920.0,1932.7,398119
2025-07-07 00:00:00+05:30,1939.1,1955.0,1892.0,1938.3,301815
2025-07-08 00:00:00+05:30,1940.1,1978.7,1905.1,1953.6,369283
2025-07-09 00:00:00+05:30,1957.5,1985.0,1949.2,1953.8,314395
2025-07-10 00:00:00+05:30,1950.0,1950.0,1888.4,1895.8,442956
2025-07-11 00:00:00+05:30,1890.0,1898.6,1830.2,1858.2,515989
2025-07-14 00:00:00+05:30,1848.8,1858.0,1810.0,1824.8,328341
2025-07-15 00:00:00+05:30,1828.7,1855.0,1820.4,1837.8,159822
2025-07-16 00:00:00+05:30,1845.9,1856.7,1826.4,1833.8,128797
2025-07-17 00:00:00+05:30,1833.1,1869.8,1830.8,1861.1,240736
2025-07-18 00:00:00+05:30,1860.1,1885.0,1842.0,1880.1,250153
2025-07-21 00:00:00+05:30,1865.1,1909.9,1838.0,1905.9,247071
2025-07-22 00:00:00+05:30,1914.0,1925.0,1874.9,1898.3,173291
2025-07-23 00:00:00+05:30,1904.1,1907.9,1870.3,1900.1,167042
2025-07-24 00:00:00+05:30,1904.0,1905.0,1858.5,1866.5,161260
2025-07-25 00:00:00+05:30,1866.5,1866.5,1773.2,1779.6,333100
2025-07-28 00:00:00+05:30,1690.7,1690.7,1690.7,1690.7,66812
2025-07-29 00:00:00+05:30,1606.2,1606.2,1606.2,1606.2,64039
2025-07-30 00:00:00+05:30,1525.9,1525.9,1525.9,1525.9,119267
2025-07-31 00:00:00+05:30,1449.6,1525.8,1449.6,1464.1,2228698
2025-08-01 00:00:00+05:30,1465.9,1537.3,1465.0,1533.2,915554
2025-08-04 00:00:00+05:30,1548.0,1561.2,1484.9,1496.7,424993
2025-08-05 00:00:00+05:30,1509.0,1522.2,1465.5,1474.4,289529
2025-08-06 00:00:00+05:30,1484.9,1497.0,1424.0,1427.9,391620
2025-08-07 00:00:00+05:30,1410.0,1460.0,1400.0,1434.7,262856
2025-08-08 00:00:00+05:30,1434.0,1446.0,1402.1,1404.7,257316
2025-08-11 00:00:00+05:30,1409.9,1473.9,1361.0,1430.7,483946
2025-08-12 00:00:00+05:30,1437.3,1440.6,1400.0,1402.4,224841
2025-08-13 00:00:00+05:30,1405.0,1432.0,1402.4,1421.5,213955
2025-08-14 00:00:00+05:30,1428.9,1428.9,1402.0,1406.6,130572
2025-08-18 00:00:00+05:30,1427.8,1476.9,1425.0,1429.3,487819
2025-08-19 00:00:00+05:30,1440.2,1445.0,1409.8,1421.6,209652
2025-08-20 00:00:00+05:30,1428.3,1444.0,1415.6,1420.1,215503
2025-08-21 00:00:00+05:30,1427.2,1449.8,1419.2,1421.6,240281
2025-08-22 00:00:00+05:30,1420.0,1492.6,1414.1,1492.6,775478
2025-08-25 00:00:00+05:30,1489.7,1550.0,1485.0,1539.6,802144
2025-08-26 00:00:00+05:30,1538.1,1538.1,1470.0,1504.1,579088
2025-08-28 00:00:00+05:30,1499.8,1507.5,1445.1,1459.7,303715
2025-08-29 00:00:00+05:30,1459.7,1478.1,1433.9,1459.6,276086
2025-09-01 00:00:00+05:30,1471.5,1517.7,1462.0,1505.0,519461
2025-09-02 00:00:00+05:30,1512.5,1536.8,1479.2,1502.9,491569
2025-09-03 00:00:00+05:30,1509.5,1509.5,1478.5,1482.5,308357
2025-09-04 00:00:00+05:30,1488.5,1499.6,1471.0,1475.5,323733
2025-09-05 00:00:00+05:30,1480.0,1490.0,1466.1,1479.2,215338
2025-09-08 00:00:00+05:30,1479.2,1486.4,1452.3,1458.5,179941
2025-09-09 00:00:00+05:30,1458.6,1467.7,1429.1,1437.9,249456
2025-09-10 00:00:00+05:30,1454.0,1509.7,1440.2,1502.6,398511
2025-09-11 00:00:00+05:30,1519.9,1525.0,1452.0,1458.8,471662
2025-09-12 00:00:00+05:30,1468.5,1497.6,1453.4,1481.5,622255
2025-09-15 00:00:00+05:30,1491.9,1525.0,1481.5,1498.5,482704
2025-09-16 00:00:00+05:30,1494.0,1498.5,1467.0,1470.6,304362
2025-09-17 00:00:00+05:30,1479.9,1544.1,1471.6,1544.1,1275534
2025-09-18 00:00:00+05:30,1557.9,1621.3,1555.0,1621.3,2010633
2025-09-19 00:00:00+05:30,1640.0,1657.0,1572.9,1604.2,959764
2025-09-22 00:00:00+05:30,1599.0,1636.9,1595.0,1605.4,424257
2025-09-23 00:00:00+05:30,1644.0,1644.0,1590.0,1603.5,294825
2025-09-24 00:00:00+05:30,1609.7,1617.0,1523.4,1533.2,389609
2025-09-25 00:00:00+05:30,1543.2,1568.0,1514.4,1520.3,265974
2025-09-26 00:00:00+05:30,1521.0,1525.0,1469.2,1500.8,345836
2025-09-29 00:00:00+05:30,1505.5,1513.2,1425.8,1426.4,473396
2025-09-30 00:00:00+05:30,1440.0,1455.0,1410.0,1432.8,336126
2025-10-01 00:00:00+05:30,1441.0,1488.9,1430.7,1467.0,377178
2025-10-03 00:00:00+05:30,1474.1,1497.2,1464.0,1487.5,263680
2025-10-06 00:00:00+05:30,1499.8,1501.0,1445.4,1455.6,338367
2025-10-07 00:00:00+05:30,1464.7,1464.7,1432.0,1436.6,239563
2025-10-08 00:00:00+05:30,1437.9,1452.8,1421.1,1423.6,275405
2025-10-09 00:00:00+05:30,1432.9,1436.2,1396.0,1414.3,335490
2025-10-10 00:00:00+05:30,1425.8,1435.0,1397.0,1419.0,465817
2025-10-13 00:00:00+05:30,1431.9,1431.9,1386.0,1393.7,431406
2025-10-14 00:00:00+05:30,1399.0,1403.5,1356.8,1362.6,444128
2025-10-15 00:00:00+05:30,1371.0,1378.0,1363.0,1367.4,277164
2025-10-16 00:00:00+05:30,1370.0,1376.0,1346.2,1349.7,318206
2025-10-17 00:00:00+05:30,1355.7,1392.0,1347.0,1376.6,447973
2025-10-20 00:00:00+05:30,1380.0,1383.7,1363.0,1373.1,138950
2025-10-21 00:00:00+05:30,1393.0,1406.0,1385.0,1400.2,130721
2025-10-23 00:00:00+05:30,1408.0,1419.9,1378.0,1386.4,253899
2025-10-24 00:00:00+05:30,1392.9,1414.5,1378.9,1396.5,312928
2025-10-27 00:00:00+05:30,1342.0,1360.0,1305.0,1339.8,1212788
2025-10-28 00:00:00+05:30,1344.9,1359.0,1331.0,1340.8,371797
2025-10-29 00:00:00+05:30,1340.9,1374.4,1330.2,1362.1,313048
2025-10-30 00:00:00+05:30,1361.8,1386.9,1353.7,1376.9,286408
2025-10-31 00:00:00+05:30,1385.0,1386.0,1353.0,1357.2,246798
2025-11-03 00:00:00+05:30,1425.0,1446.1,1393.4,1413.3,1322819
2025-11-04 00:00:00+05:30,1420.0,1430.0,1400.1,1407.0,305943
2025-11-06 00:00:00+05:30,1404.0,1407.0,1365.0,1377.2,289119
2025-11-07 00:00:00+05:30,1374.0,1376.9,1337.7,1358.8,281956
2025-11-10 00:00:00+05:30,1358.8,1378.7,1350.0,1361.3,201336
2025-11-11 00:00:00+05:30,1373.4,1404.0,1360.0,1384.5,356580
2025-11-12 00:00:00+05:30,1387.8,1405.9,1381.7,1390.3,187266
2025-11-13 00:00:00+05:30,1388.0,1456.0,1350.0,1367.6,697904
2025-11-14 00:00:00+05:30,1368.0,1472.9,1368.0,1434.4,1668535
2025-11-17 00:00:00+05:30,1444.6,1479.4,1439.0,1449.4,707608
2025-11-18 00:00:00+05:30,1449.4,1450.4,1395.3,1399.4,340410
2025-11-19 00:00:00+05:30,1398.7,1420.0,1380.0,1401.7,195259
2025-11-20 00:00:00+05:30,1439.0,1466.8,1416.3,1445.8,1420724
2025-11-21 00:00:00+05:30,1435.0,1435.4,1401.2,1412.6,403414
2025-11-24 00:00:00+05:30,1396.0,1409.9,1373.6,1382.8,315231
2025-11-25 00:00:00+05:30,1382.0,1404.0,1377.5,1397.4,335286
2025-11-26 00:00:00+05:30,1407.0,1444.7,1401.1,1406.8,468904
2025-11-27 00:00:00+05:30,1406.9,1437.0,1401.1,1407.8,339612
2025-11-28 00:00:00+05:30,1402.0,1419.1,1396.6,1406.7,162216
2025-12-01 00:00:00+05:30,1410.2,1421.9,1390.0,1395.6,216648
2025-12-02 00:00:00+05:30,1395.7,1409.6,1376.0,1392.2,249422
2025-12-03 00:00:00+05:30,1393.4,1400.0,1370.0,1380.1,182082
2025-12-04 00:00:00+05:30,1382.0,1389.0,1372.1,1374.7,156649
2025-12-05 00:00:00+05:30,1393.9,1425.0,1376.5,1388.7,1309629
2025-12-08 00:00:00+05:30,1397.4,1397.5,1341.1,1362.2,341506
2025-12-09 00:00:00+05:30,1350.0,1355.1,1318.0,1345.1,284530
2025-12-10 00:00:00+05:30,1350.0,1374.2,1329.5,1368.2,268362
2025-12-11 00:00:00+05:30,1352.8,1385.8,1341.2,1373.6,230530
2025-12-12 00:00:00+05:30,1375.0,1394.0,1355.0,1389.1,260764
2025-12-15 00:00:00+05:30,1382.2,1383.6,1365.0,1368.6,136866
2025-12-16 00:00:00+05:30,1367.0,1376.8,1352.0,1364.1,165453
2025-12-17 00:00:00+05:30,1358.0,1376.5,1343.5,1363.5,223675
2025-12-18 00:00:00+05:30,1355.1,1355.3,1332.1,1344.2,187006
2025-12-19 00:00:00+05:30,1344.2,1369.8,1340.0,1366.1,181841
