date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,173.84,178.52,173.16,177.09,889406
2025-04-02 00:00:00+05:30,177.65,178.87,172.96,177.97,747131
2025-04-03 00:00:00+05:30,175.79,182.19,175.79,181.75,1476315
2025-04-04 00:00:00+05:30,181.19,181.59,173.68,174.64,1159708
2025-04-07 00:00:00+05:30,157.28,167.98,156.83,166.32,1302203
2025-04-08 00:00:00+05:30,169.93,171.98,167.71,170.87,737842
2025-04-09 00:00:00+05:30,170.87,171.74,167.68,168.41,691283
2025-04-11 00:00:00+05:30,170.57,174.72,169.44,171.51,1658718
2025-04-15 00:00:00+05:30,174.8,182.14,173.64,181.59,1598537
2025-04-16 00:00:00+05:30,183.02,184.09,181.05,182.32,1053894
2025-04-17 00:00:00+05:30,182.63,193.37,182.63,188.53,4010787
2025-04-21 00:00:00+05:30,189.66,193.08,188.01,191.08,1677944
2025-04-22 00:00:00+05:30,191.41,193.66,189.96,191.47,921199
2025-04-23 00:00:00+05:30,192.05,193.22,186.91,189.59,770799
2025-04-24 00:00:00+05:30,189.46,193.55,188.86,190.98,1067802
2025-04-25 00:00:00+05:30,191.42,191.94,181.65,182.3,1406757
2025-04-28 00:00:00+05:30,182.58,186.43,180.17,185.62,867231
2025-04-29 00:00:00+05:30,186.16,190.98,185.37,188.21,1354205
2025-04-30 00:00:00+05:30,188.39,188.74,180.97,181.76,853887
2025-05-02 00:00:00+05:30,182.24,185.89,180.43,182.39,645284
2025-05-05 00:00:00+05:30,183.12,186.36,181.54,185.77,864750
2025-05-06 00:00:00+05:30,185.78,188.21,182.44,183.74,1360179
2025-05-07 00:00:00+05:30,179.7,186.4,179.7,185.87,878052
2025-05-08 00:00:00+05:30,186.53,191.7,180.92,182.52,1448188
2025-05-09 00:00:00+05:30,177.74,180.58,175.46,179.77,891267
2025-05-12 00:00:00+05:30,183.9,191.17,183.9,190.62,1323139
2025-05-13 00:00:00+05:30,191.11,192.34,188.85,191.34,656619
2025-05-14 00:00:00+05:30,191.86,198.25,191.46,196.65,1718618
2025-05-15 00:00:00+05:30,197.52,202.35,196.67,198.07,2180141
2025-05-16 00:00:00+05:30,199.13,201.18,197.0,200.43,1274219
2025-05-19 00:00:00+05:30,200.43,204.06,199.33,201.37,1463457
2025-05-20 00:00:00+05:30,202.16,204.16,198.96,200.68,1465999
2025-05-21 00:00:00+05:30,200.21,200.69,193.47,195.53,2287110
2025-05-22 00:00:00+05:30,194.88,197.91,192.96,195.47,886703
2025-05-23 00:00:00+05:30,196.26,199.13,194.44,196.58,648052
2025-05-26 00:00:00+05:30,198.25,201.57,197.26,198.56,1521558
2025-05-27 00:00:00+05:30,198.25,201.08,197.08,199.69,1457143
2025-05-28 00:00:00+05:30,200.21,201.49,198.64,199.25,677569
2025-05-29 00:00:00+05:30,200.21,202.65,198.07,198.61,851064
2025-05-30 00:00:00+05:30,198.61,199.99,194.44,195.25,815794
2025-06-02 00:00:00+05:30,195.32,197.75,193.37,195.5,541350
2025-06-03 00:00:00+05:30,196.3,207.03,195.68,203.55,7556552
2025-06-04 00:00:00+05:30,206.75,209.96,204.54,207.23,6308087
2025-06-05 00:00:00+05:30,208.46,212.18,205.34,206.77,2864872
2025-06-06 00:00:00+05:30,208.38,208.99,204.16,204.69,1278654
2025-06-09 00:00:00+05:30,205.09,208.79,204.4,206.85,1109673
2025-06-10 00:00:00+05:30,207.53,208.03,204.59,205.23,1039845
2025-06-11 00:00:00+05:30,206.07,209.97,204.6,206.53,1730616
2025-06-12 00:00:00+05:30,207.53,209.78,201.43,202.33,1320987
2025-06-13 00:00:00+05:30,195.33,200.94,195.33,198.68,992004
2025-06-16 00:00:00+05:30,198.88,200.44,194.15,198.32,1086888
2025-06-17 00:00:00+05:30,198.84,201.18,195.32,196.33,900030
2025-06-18 00:00:00+05:30,196.3,197.03,193.39,194.18,750380
2025-06-19 00:00:00+05:30,194.74,195.81,188.07,188.74,1243603
2025-06-20 00:00:00+05:30,188.78,192.15,187.68,190.79,725525
2025-06-23 00:00:00+05:30,189.84,192.09,188.11,191.17,837288
2025-06-24 00:00:00+05:30,193.61,196.18,192.29,192.97,911940
2025-06-25 00:00:00+05:30,194.34,199.52,194.34,198.36,1190835
2025-06-26 00:00:00+05:30,199.13,200.64,194.74,195.6,920781
2025-06-27 00:00:00+05:30,197.28,199.89,196.2,197.7,1055793
2025-06-30 00:00:00+05:30,198.98,200.93,197.91,199.44,658002
2025-07-01 00:00:00+05:30,200.16,203.53,198.56,201.89,1562975
2025-07-02 00:00:00+05:30,202.86,202.86,198.06,201.63,923212
