date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,425.1,437.5,423.55,428.1,137943
2025-04-02 00:00:00+05:30,445.0,445.0,418.55,433.05,242964
2025-04-03 00:00:00+05:30,426.8,445.0,426.8,434.3,203105
2025-04-04 00:00:00+05:30,434.0,434.0,411.85,415.25,175345
2025-04-07 00:00:00+05:30,375.0,405.5,374.1,400.95,180243
2025-04-08 00:00:00+05:30,404.0,415.6,400.0,404.2,91024
2025-04-09 00:00:00+05:30,403.05,406.75,395.05,400.9,63116
2025-04-11 00:00:00+05:30,407.9,414.2,404.1,407.1,96690
2025-04-15 00:00:00+05:30,415.0,423.75,412.05,421.35,103172
2025-04-16 00:00:00+05:30,423.9,438.9,422.75,433.5,146926
2025-04-17 00:00:00+05:30,433.5,447.9,425.1,436.6,243715
2025-04-21 00:00:00+05:30,435.0,444.45,433.15,438.45,120061
2025-04-22 00:00:00+05:30,440.2,455.0,436.85,451.65,246752
2025-04-23 00:00:00+05:30,464.4,474.6,455.1,457.1,526392
2025-04-24 00:00:00+05:30,456.0,467.0,451.85,462.95,146062
2025-04-25 00:00:00+05:30,464.0,469.9,441.55,445.55,260141
2025-04-28 00:00:00+05:30,446.9,459.25,430.5,435.7,229624
2025-04-29 00:00:00+05:30,439.0,443.35,434.1,439.65,82870
2025-04-30 00:00:00+05:30,440.05,440.05,429.0,432.05,124524
2025-05-02 00:00:00+05:30,430.65,441.5,424.3,437.15,85598
2025-05-05 00:00:00+05:30,438.75,440.5,433.9,439.05,53734
2025-05-06 00:00:00+05:30,439.05,442.9,425.1,429.6,65164
2025-05-07 00:00:00+05:30,423.0,452.9,417.0,441.65,308500
2025-05-08 00:00:00+05:30,444.1,473.35,437.4,460.1,553425
2025-05-09 00:00:00+05:30,442.5,466.0,442.5,461.05,266253
2025-05-12 00:00:00+05:30,472.0,478.9,466.0,468.1,186243
2025-05-13 00:00:00+05:30,466.6,486.65,466.6,478.8,217009
2025-05-14 00:00:00+05:30,481.8,499.0,477.6,495.75,327978
2025-05-15 00:00:00+05:30,497.8,517.7,496.7,514.0,296443
2025-05-16 00:00:00+05:30,512.9,521.85,501.9,506.2,131351
2025-05-19 00:00:00+05:30,507.95,516.95,506.3,513.95,77216
2025-05-20 00:00:00+05:30,519.7,519.7,500.0,502.1,90544
2025-05-21 00:00:00+05:30,502.1,514.7,501.3,512.45,72899
2025-05-22 00:00:00+05:30,505.0,512.45,500.0,503.65,45015
2025-05-23 00:00:00+05:30,506.85,511.95,501.85,506.4,53742
2025-05-26 00:00:00+05:30,508.5,517.7,506.4,509.45,67659
2025-05-27 00:00:00+05:30,511.0,514.85,500.0,507.25,58963
2025-05-28 00:00:00+05:30,514.7,514.7,499.95,506.35,77817
2025-05-29 00:00:00+05:30,508.7,520.0,492.0,512.15,628803
2025-05-30 00:00:00+05:30,514.5,550.0,508.15,528.65,913180
2025-06-02 00:00:00+05:30,530.0,558.85,525.05,552.05,894571
2025-06-03 00:00:00+05:30,553.9,556.0,537.0,541.5,159015
2025-06-04 00:00:00+05:30,540.0,558.0,534.15,545.75,309586
2025-06-05 00:00:00+05:30,544.8,555.95,544.8,550.0,154000
2025-06-06 00:00:00+05:30,552.0,555.5,544.25,550.0,191310
2025-06-09 00:00:00+05:30,553.95,564.9,548.5,551.95,284352
2025-06-10 00:00:00+05:30,554.2,555.75,541.8,544.75,140432
2025-06-11 00:00:00+05:30,552.0,561.6,547.1,553.25,229482
2025-06-12 00:00:00+05:30,552.0,559.95,538.05,540.8,142005
2025-06-13 00:00:00+05:30,533.7,544.9,527.95,535.8,114809
2025-06-16 00:00:00+05:30,536.5,554.8,526.8,548.3,158806
2025-06-17 00:00:00+05:30,549.0,565.0,543.0,550.0,266750
2025-06-18 00:00:00+05:30,549.0,575.75,547.65,556.5,488313
2025-06-19 00:00:00+05:30,560.0,565.7,538.7,548.25,171542
2025-06-20 00:00:00+05:30,549.0,570.0,545.05,563.9,259461
2025-06-23 00:00:00+05:30,562.0,562.95,542.6,544.95,134709
2025-06-24 00:00:00+05:30,548.45,552.95,543.0,545.0,116744
2025-06-25 00:00:00+05:30,549.45,577.0,546.85,572.9,392092
2025-06-26 00:00:00+05:30,574.95,584.9,568.0,580.85,398782
2025-06-27 00:00:00+05:30,582.0,588.9,567.85,571.0,203893
2025-06-30 00:00:00+05:30,572.7,576.9,563.0,567.65,133159
2025-07-01 00:00:00+05:30,569.75,578.8,567.95,570.05,217456
2025-07-02 00:00:00+05:30,572.35,573.2,561.85,567.0,104027
2025-07-03 00:00:00+05:30,568.8,576.9,563.2,564.8,101687
2025-07-04 00:00:00+05:30,563.1,570.4,557.65,568.6,84630
2025-07-07 00:00:00+05:30,568.5,573.0,553.65,570.4,124913
2025-07-08 00:00:00+05:30,570.2,570.2,554.0,557.3,111252
2025-07-09 00:00:00+05:30,555.0,561.95,546.0,558.7,499845
2025-07-10 00:00:00+05:30,558.95,577.35,558.95,565.95,301922
2025-07-11 00:00:00+05:30,567.5,569.95,557.2,561.0,105066
2025-07-14 00:00:00+05:30,567.9,567.9,549.25,551.45,82923
2025-07-15 00:00:00+05:30,558.0,578.0,557.4,571.3,625649
2025-07-16 00:00:00+05:30,568.4,576.1,561.15,567.3,126678
2025-07-17 00:00:00+05:30,569.75,574.05,565.7,570.35,93797
2025-07-18 00:00:00+05:30,571.45,572.9,557.4,559.25,53093
2025-07-21 00:00:00+05:30,564.85,564.85,550.25,554.3,78945
2025-07-22 00:00:00+05:30,555.65,559.0,548.2,550.85,62207
2025-07-23 00:00:00+05:30,549.0,556.05,544.1,554.35,80708
2025-07-24 00:00:00+05:30,554.0,558.4,545.1,548.0,92488
2025-07-25 00:00:00+05:30,551.0,553.25,535.0,538.4,70250
2025-07-28 00:00:00+05:30,538.0,544.0,523.05,524.9,77237
2025-07-29 00:00:00+05:30,524.0,537.9,522.05,534.85,71550
2025-07-30 00:00:00+05:30,535.9,538.9,526.6,536.25,223677
2025-07-31 00:00:00+05:30,536.0,548.1,529.25,536.95,105688
2025-08-01 00:00:00+05:30,535.0,545.65,521.2,523.4,98743
2025-08-04 00:00:00+05:30,526.1,527.6,514.05,516.0,110113
2025-08-05 00:00:00+05:30,516.5,545.0,516.5,540.55,230380
2025-08-06 00:00:00+05:30,540.0,542.0,525.25,528.3,176590
2025-08-07 00:00:00+05:30,527.8,579.9,513.45,554.05,1124676
2025-08-08 00:00:00+05:30,558.5,568.95,505.8,510.95,452036
2025-08-11 00:00:00+05:30,510.55,525.0,501.45,522.35,197541
2025-08-12 00:00:00+05:30,520.2,521.95,515.9,519.65,87399
2025-08-13 00:00:00+05:30,525.0,525.0,508.0,510.5,82738
2025-08-14 00:00:00+05:30,511.5,523.0,511.3,519.85,113287
2025-08-18 00:00:00+05:30,524.8,544.45,520.05,540.25,161750
2025-08-19 00:00:00+05:30,540.0,552.35,535.7,544.15,109006
2025-08-20 00:00:00+05:30,545.8,555.55,544.55,553.2,84711
2025-08-21 00:00:00+05:30,553.2,558.2,549.2,551.0,58625
2025-08-22 00:00:00+05:30,550.9,557.05,543.85,551.7,91344
2025-08-25 00:00:00+05:30,558.0,558.6,547.0,549.4,38723
2025-08-26 00:00:00+05:30,546.5,547.05,535.0,538.8,50493
2025-08-28 00:00:00+05:30,535.0,548.35,533.4,540.65,53850
2025-08-29 00:00:00+05:30,535.25,546.55,530.0,534.35,39956
2025-09-01 00:00:00+05:30,531.0,562.0,531.0,558.8,197083
2025-09-02 00:00:00+05:30,559.4,570.05,555.05,564.9,135996
2025-09-03 00:00:00+05:30,564.8,576.95,563.0,572.45,137478
2025-09-04 00:00:00+05:30,575.0,576.7,558.2,561.1,102346
2025-09-05 00:00:00+05:30,560.0,611.4,556.05,602.1,826640
2025-09-08 00:00:00+05:30,610.0,624.65,601.25,603.75,809721
2025-09-09 00:00:00+05:30,606.0,617.5,604.0,612.85,233316
2025-09-10 00:00:00+05:30,612.0,613.4,601.15,609.35,239946
2025-09-11 00:00:00+05:30,608.8,621.9,604.3,610.05,212440
2025-09-12 00:00:00+05:30,607.0,612.95,596.0,601.55,144056
2025-09-15 00:00:00+05:30,600.0,630.0,592.6,622.25,643386
2025-09-16 00:00:00+05:30,628.4,645.0,622.1,631.15,755893
2025-09-17 00:00:00+05:30,640.0,647.3,630.3,642.45,343995
2025-09-18 00:00:00+05:30,645.0,646.8,620.15,628.95,760265
2025-09-19 00:00:00+05:30,626.0,641.5,625.0,633.0,921375
2025-09-22 00:00:00+05:30,631.0,647.4,627.05,640.15,258444
2025-09-23 00:00:00+05:30,645.0,664.15,632.15,638.2,533232
2025-09-24 00:00:00+05:30,638.8,654.25,630.0,646.05,232721
2025-09-25 00:00:00+05:30,646.45,646.45,630.0,632.8,152677
2025-09-26 00:00:00+05:30,632.9,635.65,615.3,617.85,205875
2025-09-29 00:00:00+05:30,620.0,629.6,597.3,602.1,224022
2025-09-30 00:00:00+05:30,602.0,607.85,588.2,590.4,164716
2025-10-01 00:00:00+05:30,592.0,615.0,588.1,610.15,111598
2025-10-03 00:00:00+05:30,618.1,624.4,603.8,619.4,106046
2025-10-06 00:00:00+05:30,618.95,618.95,606.15,612.0,90456
2025-10-07 00:00:00+05:30,614.9,630.0,607.4,620.4,220862
2025-10-08 00:00:00+05:30,615.0,623.95,608.9,611.3,80128
2025-10-09 00:00:00+05:30,611.95,618.7,593.35,598.3,140603
2025-10-10 00:00:00+05:30,594.25,610.95,594.0,606.15,107994
2025-10-13 00:00:00+05:30,604.95,611.95,592.6,607.45,147333
2025-10-14 00:00:00+05:30,607.45,607.45,580.6,592.75,167073
2025-10-15 00:00:00+05:30,589.7,603.0,583.7,598.65,144267
2025-10-16 00:00:00+05:30,593.0,618.7,593.0,616.2,138261
2025-10-17 00:00:00+05:30,616.9,618.5,608.05,614.55,119450
2025-10-20 00:00:00+05:30,614.55,625.8,611.5,622.5,152054
2025-10-21 00:00:00+05:30,630.0,633.8,623.0,624.75,49682
2025-10-23 00:00:00+05:30,625.0,625.95,616.75,618.3,67432
2025-10-24 00:00:00+05:30,616.0,618.25,606.75,607.45,57694
