date,open,high,low,close,volume
2025-06-02 00:00:00+05:30,46.65,48.12,46.02,47.95,2689576
2025-06-03 00:00:00+05:30,47.98,48.42,47.27,47.51,1520616
2025-06-04 00:00:00+05:30,47.37,47.98,46.65,47.77,1435840
2025-06-05 00:00:00+05:30,47.69,48.74,47.16,47.4,1761194
2025-06-06 00:00:00+05:30,47.4,47.84,47.08,47.61,1003579
2025-06-09 00:00:00+05:30,47.98,52.5,47.63,49.9,17218429
2025-06-10 00:00:00+05:30,50.38,59.88,49.91,58.95,67514536
2025-06-11 00:00:00+05:30,60.13,67.5,60.1,65.56,173888108
2025-06-12 00:00:00+05:30,65.0,65.19,60.0,60.92,29020056
2025-06-13 00:00:00+05:30,58.74,60.41,58.0,59.78,15239894
2025-06-16 00:00:00+05:30,59.94,60.44,56.45,59.71,14679093
2025-06-17 00:00:00+05:30,59.87,60.12,56.95,57.39,9541786
2025-06-18 00:00:00+05:30,57.0,58.35,56.3,56.62,8334103
2025-06-19 00:00:00+05:30,56.39,57.33,54.4,55.11,5499117
2025-06-20 00:00:00+05:30,55.11,60.89,54.9,59.12,28635844
2025-06-23 00:00:00+05:30,57.71,58.24,56.74,57.32,9269467
2025-06-24 00:00:00+05:30,58.0,61.5,58.0,58.9,29993678
2025-06-25 00:00:00+05:30,59.7,60.35,58.65,59.57,9699958
2025-06-26 00:00:00+05:30,60.0,61.0,59.31,60.54,8945749
2025-06-27 00:00:00+05:30,61.0,65.49,60.99,63.23,55594780
2025-06-30 00:00:00+05:30,63.54,66.4,62.4,64.93,29750318
2025-07-01 00:00:00+05:30,65.21,65.48,63.25,63.65,10419299
2025-07-02 00:00:00+05:30,63.97,63.99,61.25,62.02,7151576
2025-07-03 00:00:00+05:30,62.27,62.69,60.66,61.47,6953190
2025-07-04 00:00:00+05:30,61.5,62.21,60.84,61.68,4628240
2025-07-07 00:00:00+05:30,61.5,65.6,60.93,64.08,20958811
2025-07-08 00:00:00+05:30,64.1,64.79,62.5,64.03,9317708
2025-07-09 00:00:00+05:30,64.3,69.7,63.65,64.99,48717698
2025-07-10 00:00:00+05:30,65.7,67.25,65.01,66.18,15643897
2025-07-11 00:00:00+05:30,66.4,67.7,63.52,64.27,11260555
2025-07-14 00:00:00+05:30,64.0,64.23,61.8,62.14,8971104
2025-07-15 00:00:00+05:30,62.21,63.15,61.84,61.99,4515410
2025-07-16 00:00:00+05:30,62.2,62.69,61.55,61.97,3316646
2025-07-17 00:00:00+05:30,62.29,62.54,61.12,61.37,2982629
2025-07-18 00:00:00+05:30,61.56,62.37,60.8,61.18,3496002
2025-07-21 00:00:00+05:30,61.05,61.39,59.8,60.13,3263354
2025-07-22 00:00:00+05:30,60.28,62.04,60.06,60.32,4298117
2025-07-23 00:00:00+05:30,60.58,60.6,58.71,59.48,3896876
2025-07-24 00:00:00+05:30,59.4,59.5,58.0,58.16,3139783
2025-07-25 00:00:00+05:30,57.6,58.14,56.51,56.96,2687540
2025-07-28 00:00:00+05:30,56.9,57.74,54.9,55.9,3328197
2025-07-29 00:00:00+05:30,55.8,57.84,54.61,56.96,3555690
2025-07-30 00:00:00+05:30,57.17,57.5,55.38,55.8,1981501
2025-07-31 00:00:00+05:30,54.53,55.4,53.57,54.29,2607526
2025-08-01 00:00:00+05:30,54.5,55.62,53.34,53.59,3233061
2025-08-04 00:00:00+05:30,53.83,55.26,53.02,54.85,3317748
2025-08-05 00:00:00+05:30,54.85,55.41,53.31,53.47,2309001
2025-08-06 00:00:00+05:30,53.49,55.07,52.3,52.93,4356351
2025-08-07 00:00:00+05:30,52.75,53.46,51.13,52.37,3645921
2025-08-08 00:00:00+05:30,52.52,52.88,51.01,51.57,2675644
2025-08-11 00:00:00+05:30,51.31,51.92,50.37,51.55,3333170
2025-08-12 00:00:00+05:30,51.55,52.09,49.53,50.58,4112115
2025-08-13 00:00:00+05:30,51.07,52.69,50.89,51.97,4001583
2025-08-14 00:00:00+05:30,51.98,52.33,50.56,50.95,2102485
2025-08-18 00:00:00+05:30,51.95,53.15,51.51,51.67,2928184
2025-08-19 00:00:00+05:30,51.49,54.25,51.48,53.87,4067413
2025-08-20 00:00:00+05:30,53.85,54.5,53.17,54.01,2341377
2025-08-21 00:00:00+05:30,54.41,55.37,53.12,53.62,3250375
2025-08-22 00:00:00+05:30,53.62,53.62,52.19,52.66,1796193
2025-08-25 00:00:00+05:30,52.99,53.69,52.62,52.82,2246870
2025-08-26 00:00:00+05:30,52.97,60.0,52.35,58.2,100853395
2025-08-28 00:00:00+05:30,58.5,62.45,56.11,60.58,83300812
2025-08-29 00:00:00+05:30,60.58,63.04,59.5,61.36,40240277
2025-09-01 00:00:00+05:30,61.06,62.49,60.63,61.5,12199291
2025-09-02 00:00:00+05:30,61.55,62.44,60.5,61.32,7414110
2025-09-03 00:00:00+05:30,61.49,61.65,60.2,60.48,3672526
2025-09-04 00:00:00+05:30,61.0,61.72,58.5,58.93,4698809
2025-09-05 00:00:00+05:30,59.14,64.0,58.82,61.97,36498935
2025-09-08 00:00:00+05:30,61.95,62.67,60.74,61.29,5232123
2025-09-09 00:00:00+05:30,61.5,61.55,59.74,60.11,3141391
2025-09-10 00:00:00+05:30,60.11,60.39,58.1,58.48,4095992
2025-09-11 00:00:00+05:30,58.51,59.42,58.05,58.31,3323675
2025-09-12 00:00:00+05:30,58.65,59.15,55.11,56.47,5359130
2025-09-15 00:00:00+05:30,56.84,57.66,56.36,56.84,3070682
2025-09-16 00:00:00+05:30,56.83,57.58,56.55,56.94,2231482
2025-09-17 00:00:00+05:30,57.0,57.69,56.91,57.25,2124442
2025-09-18 00:00:00+05:30,57.0,57.68,56.58,56.83,2130546
2025-09-19 00:00:00+05:30,56.89,57.43,56.51,56.8,2449093
2025-09-22 00:00:00+05:30,56.8,57.25,55.5,55.77,2305053
2025-09-23 00:00:00+05:30,55.98,56.24,54.92,55.15,2604891
2025-09-24 00:00:00+05:30,55.1,55.37,54.01,54.15,1917435
2025-09-25 00:00:00+05:30,54.1,54.53,53.6,53.85,1382406
2025-09-26 00:00:00+05:30,54.0,54.0,51.8,52.18,2233790
2025-09-29 00:00:00+05:30,52.96,53.77,51.11,52.02,7856301
2025-09-30 00:00:00+05:30,52.15,52.33,50.68,51.11,2379067
2025-10-01 00:00:00+05:30,51.4,52.98,50.82,52.49,2885571
2025-10-03 00:00:00+05:30,52.74,52.98,52.02,52.72,2024844
2025-10-06 00:00:00+05:30,52.51,54.5,52.5,53.43,3736847
2025-10-07 00:00:00+05:30,53.58,53.63,52.02,52.27,1773102
2025-10-08 00:00:00+05:30,52.5,52.62,51.0,51.28,1733289
2025-10-09 00:00:00+05:30,51.28,51.6,50.78,51.18,1609186
2025-10-10 00:00:00+05:30,51.2,52.45,51.2,52.04,1801123
2025-10-13 00:00:00+05:30,51.5,51.74,50.96,51.16,1587683
2025-10-14 00:00:00+05:30,51.15,51.49,50.23,50.41,1467707
2025-10-15 00:00:00+05:30,50.41,51.0,50.01,50.74,1487662
2025-10-16 00:00:00+05:30,51.0,51.45,50.8,51.05,1204079
2025-10-17 00:00:00+05:30,51.15,51.8,50.55,51.48,1460575
2025-10-20 00:00:00+05:30,51.69,51.69,50.55,51.06,1055720
2025-10-21 00:00:00+05:30,50.61,51.15,50.61,50.97,315503
2025-10-23 00:00:00+05:30,50.97,51.84,50.97,51.41,1110116
2025-10-24 00:00:00+05:30,51.39,51.49,50.54,50.78,1144855
2025-10-27 00:00:00+05:30,51.04,54.39,50.7,52.73,6001726
2025-10-28 00:00:00+05:30,52.5,53.5,52.35,53.09,1781969
2025-10-29 00:00:00+05:30,53.19,53.45,52.45,53.08,1689490
2025-10-30 00:00:00+05:30,52.92,53.19,52.51,52.76,888196
2025-10-31 00:00:00+05:30,52.74,52.75,52.01,52.18,833910
2025-11-03 00:00:00+05:30,52.3,52.38,51.01,51.35,1364392
2025-11-04 00:00:00+05:30,51.24,52.66,51.23,51.73,1367697
2025-11-06 00:00:00+05:30,51.5,51.5,49.4,49.71,2023040
2025-11-07 00:00:00+05:30,49.55,49.55,48.35,49.25,1320652
2025-11-10 00:00:00+05:30,49.25,49.49,48.56,49.02,1347150
2025-11-11 00:00:00+05:30,48.75,51.3,48.54,49.76,3454932
2025-11-12 00:00:00+05:30,49.0,49.18,47.76,48.46,2623336
2025-11-13 00:00:00+05:30,48.41,48.88,47.15,47.59,1336102
2025-11-14 00:00:00+05:30,47.3,47.4,46.52,46.78,1545228
2025-11-17 00:00:00+05:30,46.8,47.29,46.53,46.64,2154888
2025-11-18 00:00:00+05:30,46.52,46.76,45.36,45.49,1069312
2025-11-19 00:00:00+05:30,45.61,46.34,45.1,45.33,1631314
2025-11-20 00:00:00+05:30,45.38,46.62,44.66,44.94,1506002
2025-11-21 00:00:00+05:30,44.94,44.95,43.72,43.88,1071689
2025-11-24 00:00:00+05:30,43.89,44.42,42.6,42.94,1309792
2025-11-25 00:00:00+05:30,42.6,43.57,42.6,43.13,858227
2025-11-26 00:00:00+05:30,43.29,44.39,43.04,44.21,1050382
2025-11-27 00:00:00+05:30,44.21,45.12,43.21,43.79,1449904
2025-11-28 00:00:00+05:30,43.6,44.0,43.11,43.36,712783
2025-12-01 00:00:00+05:30,43.39,44.1,42.62,42.74,770557
2025-12-02 00:00:00+05:30,42.6,43.23,42.33,42.96,727694
2025-12-03 00:00:00+05:30,42.89,43.13,42.11,42.55,748999
2025-12-04 00:00:00+05:30,42.4,42.55,41.83,41.95,800294
2025-12-05 00:00:00+05:30,41.95,41.99,40.79,41.01,1451319
2025-12-08 00:00:00+05:30,40.52,41.24,39.8,40.11,1129324
2025-12-09 00:00:00+05:30,39.6,41.46,39.11,40.35,2058617
2025-12-10 00:00:00+05:30,40.57,41.85,39.9,40.03,1219590
2025-12-11 00:00:00+05:30,39.9,40.81,39.54,40.53,986787
2025-12-12 00:00:00+05:30,40.6,41.16,40.02,40.47,1131326
2025-12-15 00:00:00+05:30,40.56,41.07,40.1,40.92,911809
2025-12-16 00:00:00+05:30,40.9,40.98,40.42,40.54,796586
2025-12-17 00:00:00+05:30,40.55,40.74,39.72,40.18,1167177
2025-12-18 00:00:00+05:30,40.04,42.09,39.67,40.11,2079124
2025-12-19 00:00:00+05:30,40.43,42.84,40.3,41.35,5875415
