date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,425.1,431.65,420.0,426.65,318662
2025-04-02 00:00:00+05:30,426.0,436.95,419.05,434.3,243703
2025-04-03 00:00:00+05:30,425.5,471.65,425.5,466.45,871735
2025-04-04 00:00:00+05:30,466.4,466.4,443.15,451.75,514167
2025-04-07 00:00:00+05:30,400.0,447.2,400.0,438.25,622979
2025-04-08 00:00:00+05:30,450.2,455.2,439.85,452.05,292374
2025-04-09 00:00:00+05:30,450.1,451.45,438.0,444.5,248739
2025-04-11 00:00:00+05:30,459.0,461.0,450.05,453.25,249370
2025-04-15 00:00:00+05:30,461.4,490.0,458.8,484.85,867594
2025-04-16 00:00:00+05:30,485.0,512.7,482.05,505.65,991095
2025-04-17 00:00:00+05:30,505.0,510.0,492.75,508.05,364892
2025-04-21 00:00:00+05:30,509.0,529.75,506.85,513.6,657926
2025-04-22 00:00:00+05:30,513.5,524.25,505.55,514.1,327130
2025-04-23 00:00:00+05:30,514.1,522.7,502.3,510.0,257846
2025-04-24 00:00:00+05:30,509.0,511.85,500.75,501.2,225770
2025-04-25 00:00:00+05:30,501.5,504.45,478.1,487.1,377670
2025-04-28 00:00:00+05:30,479.7,506.3,479.7,500.4,277271
2025-04-29 00:00:00+05:30,500.4,506.6,495.0,495.1,128526
2025-04-30 00:00:00+05:30,491.1,494.0,481.0,483.7,152397
2025-05-02 00:00:00+05:30,483.7,488.65,466.1,471.25,184786
2025-05-05 00:00:00+05:30,471.35,479.95,467.45,474.5,164469
2025-05-06 00:00:00+05:30,475.0,478.8,456.05,458.95,145845
2025-05-07 00:00:00+05:30,459.95,475.0,453.6,470.35,198097
2025-05-08 00:00:00+05:30,476.0,484.0,463.0,465.75,180809
2025-05-09 00:00:00+05:30,455.1,465.15,451.5,460.85,221836
2025-05-12 00:00:00+05:30,477.55,488.55,476.0,485.55,170207
2025-05-13 00:00:00+05:30,487.75,508.0,484.8,495.1,337273
2025-05-14 00:00:00+05:30,491.95,502.6,490.75,495.5,141111
2025-05-15 00:00:00+05:30,500.0,501.05,491.15,493.25,135391
2025-05-16 00:00:00+05:30,495.5,511.0,490.9,506.7,203271
2025-05-19 00:00:00+05:30,509.9,514.3,495.55,498.75,306315
2025-05-20 00:00:00+05:30,504.0,507.85,492.3,494.3,169704
2025-05-21 00:00:00+05:30,494.3,515.5,490.2,510.0,643551
2025-05-22 00:00:00+05:30,509.0,515.85,498.0,500.7,141410
2025-05-23 00:00:00+05:30,500.2,526.0,495.45,522.1,400893
2025-05-26 00:00:00+05:30,528.0,544.1,503.55,525.5,910984
2025-05-27 00:00:00+05:30,532.3,534.35,512.0,513.5,328014
2025-05-28 00:00:00+05:30,519.0,523.3,508.2,517.25,222964
2025-05-29 00:00:00+05:30,519.9,522.0,512.0,514.15,147522
2025-05-30 00:00:00+05:30,518.0,518.8,502.0,505.75,195635
2025-06-02 00:00:00+05:30,506.9,522.0,504.15,510.75,201560
2025-06-03 00:00:00+05:30,510.9,514.75,504.4,509.15,120658
2025-06-04 00:00:00+05:30,509.95,514.9,506.05,507.7,144703
2025-06-05 00:00:00+05:30,506.7,518.0,506.7,509.9,217074
2025-06-06 00:00:00+05:30,509.9,552.25,508.75,539.8,824887
2025-06-09 00:00:00+05:30,544.15,544.8,530.1,533.2,228708
2025-06-10 00:00:00+05:30,538.0,543.5,528.1,529.7,191205
2025-06-11 00:00:00+05:30,533.0,536.5,520.0,530.15,176784
2025-06-12 00:00:00+05:30,530.2,531.9,517.65,523.6,136411
2025-06-13 00:00:00+05:30,506.55,525.2,506.5,520.8,152068
2025-06-16 00:00:00+05:30,524.05,538.7,521.0,533.8,241262
2025-06-17 00:00:00+05:30,540.0,549.85,509.0,520.15,416118
2025-06-18 00:00:00+05:30,523.0,529.35,513.25,517.3,186862
2025-06-19 00:00:00+05:30,516.0,522.9,502.95,505.5,180006
2025-06-20 00:00:00+05:30,507.3,516.7,503.95,514.1,133179
2025-06-23 00:00:00+05:30,506.0,510.25,485.0,500.35,932608
2025-06-24 00:00:00+05:30,506.35,514.5,501.0,507.65,246802
2025-06-25 00:00:00+05:30,514.5,528.25,514.5,525.85,367128
2025-06-26 00:00:00+05:30,528.5,539.6,523.65,524.85,262758
2025-06-27 00:00:00+05:30,525.5,532.75,525.5,528.5,127258
2025-06-30 00:00:00+05:30,528.45,538.65,528.0,535.25,158609
2025-07-01 00:00:00+05:30,545.0,574.35,543.05,548.8,1092096
2025-07-02 00:00:00+05:30,551.6,554.45,537.4,548.65,302637
2025-07-03 00:00:00+05:30,545.5,579.4,544.75,564.85,1275016
2025-07-04 00:00:00+05:30,568.95,578.0,562.1,575.35,316872
2025-07-07 00:00:00+05:30,579.9,632.0,573.2,605.8,2047040
2025-07-08 00:00:00+05:30,607.5,647.3,602.1,629.25,933812
2025-07-09 00:00:00+05:30,627.8,627.8,610.15,614.75,437360
2025-07-10 00:00:00+05:30,614.75,632.4,613.0,621.6,409613
2025-07-11 00:00:00+05:30,624.35,627.85,601.65,610.0,323471
2025-07-14 00:00:00+05:30,612.0,633.0,612.0,622.2,735102
2025-07-15 00:00:00+05:30,630.0,641.9,616.45,619.1,434556
2025-07-16 00:00:00+05:30,623.3,625.6,604.85,607.05,334713
2025-07-17 00:00:00+05:30,605.4,624.9,604.0,616.5,692229
2025-07-18 00:00:00+05:30,621.95,636.0,613.55,625.8,583828
2025-07-21 00:00:00+05:30,631.5,654.9,625.5,643.2,1093036
2025-07-22 00:00:00+05:30,647.45,648.95,635.0,641.3,320228
2025-07-23 00:00:00+05:30,644.0,646.45,626.05,633.05,310236
2025-07-24 00:00:00+05:30,637.3,657.4,630.05,632.65,591064
2025-07-25 00:00:00+05:30,636.1,642.0,624.6,626.85,291681
2025-07-28 00:00:00+05:30,624.0,646.25,611.45,621.3,451534
2025-07-29 00:00:00+05:30,625.2,641.05,621.4,627.3,325686
2025-07-30 00:00:00+05:30,630.0,639.3,624.2,626.55,180664
2025-07-31 00:00:00+05:30,620.0,654.85,613.85,643.95,612056
2025-08-01 00:00:00+05:30,649.25,650.0,634.0,636.55,246689
2025-08-04 00:00:00+05:30,636.55,657.3,630.95,650.8,1210195
2025-08-05 00:00:00+05:30,657.0,690.0,645.0,684.9,1894637
2025-08-06 00:00:00+05:30,692.0,712.8,659.7,703.1,2624113
2025-08-07 00:00:00+05:30,704.0,718.9,685.0,690.7,1132327
2025-08-08 00:00:00+05:30,694.65,726.0,685.0,706.1,1225316
2025-08-11 00:00:00+05:30,715.0,738.2,706.5,726.1,1507911
2025-08-12 00:00:00+05:30,730.95,733.25,704.0,709.95,810987
2025-08-13 00:00:00+05:30,713.15,723.4,708.0,714.85,651858
2025-08-14 00:00:00+05:30,716.0,722.8,706.0,712.35,343053
2025-08-18 00:00:00+05:30,724.0,725.25,687.35,709.1,827348
2025-08-19 00:00:00+05:30,714.55,716.2,700.6,713.75,350334
2025-08-20 00:00:00+05:30,719.6,740.0,717.3,730.35,879573
2025-08-21 00:00:00+05:30,737.0,737.9,711.55,713.9,461588
2025-08-22 00:00:00+05:30,714.0,722.2,707.95,716.15,284943
