date,open,high,low,close,volume
2025-05-19 00:00:00+05:30,2353.6,2378.9,2326.6,2331.4,552961
2025-05-20 00:00:00+05:30,2347.5,2347.7,2291.4,2295.6,1095846
2025-05-21 00:00:00+05:30,2296.0,2316.2,2290.0,2312.4,469330
2025-05-22 00:00:00+05:30,2309.2,2310.0,2283.1,2299.2,916504
2025-05-23 00:00:00+05:30,2301.8,2329.0,2295.0,2315.5,458035
2025-05-26 00:00:00+05:30,2316.0,2338.0,2302.8,2327.2,1258062
2025-05-27 00:00:00+05:30,2313.1,2351.6,2301.1,2327.6,2485428
2025-05-28 00:00:00+05:30,2327.6,2333.0,2300.3,2303.2,774808
2025-05-29 00:00:00+05:30,2303.2,2309.0,2286.5,2294.3,1414643
2025-05-30 00:00:00+05:30,2296.5,2304.0,2255.0,2259.1,3610474
2025-06-02 00:00:00+05:30,2259.1,2272.3,2257.9,2266.7,702789
2025-06-03 00:00:00+05:30,2272.6,2287.3,2246.7,2255.7,792587
2025-06-04 00:00:00+05:30,2249.5,2261.0,2240.9,2249.0,768084
2025-06-05 00:00:00+05:30,2251.1,2261.0,2233.0,2243.5,996615
2025-06-06 00:00:00+05:30,2249.1,2252.6,2239.0,2245.2,822087
2025-06-09 00:00:00+05:30,2240.0,2255.8,2236.0,2247.9,1041859
2025-06-10 00:00:00+05:30,2240.0,2240.0,2215.2,2218.9,1809078
2025-06-11 00:00:00+05:30,2209.0,2225.9,2207.2,2208.8,1431027
2025-06-12 00:00:00+05:30,2224.0,2263.0,2208.1,2219.4,3417375
2025-06-13 00:00:00+05:30,2175.0,2217.1,2174.8,2214.2,1786808
2025-06-16 00:00:00+05:30,2214.2,2250.0,2209.3,2244.8,1301826
2025-06-17 00:00:00+05:30,2231.0,2281.0,2227.0,2264.8,1540986
2025-06-18 00:00:00+05:30,2257.0,2284.0,2255.0,2281.4,1131156
2025-06-19 00:00:00+05:30,2270.0,2285.0,2264.0,2268.0,524936
2025-06-20 00:00:00+05:30,2267.0,2289.9,2263.0,2285.7,1945030
2025-06-23 00:00:00+05:30,2261.2,2272.8,2253.9,2264.1,596186
2025-06-24 00:00:00+05:30,2305.0,2309.7,2268.9,2275.3,1044179
2025-06-25 00:00:00+05:30,2276.1,2294.3,2275.4,2279.9,807391
2025-06-26 00:00:00+05:30,2287.0,2292.6,2280.2,2289.8,921519
2025-06-27 00:00:00+05:30,2283.0,2364.5,2277.1,2358.7,1555259
2025-06-30 00:00:00+05:30,2362.0,2369.9,2326.1,2341.1,785414
2025-07-01 00:00:00+05:30,2380.5,2400.0,2350.2,2369.5,1232160
2025-07-02 00:00:00+05:30,2340.0,2430.0,2327.0,2419.4,1936060
2025-07-03 00:00:00+05:30,2428.9,2464.4,2425.0,2430.9,1547489
2025-07-04 00:00:00+05:30,2430.9,2443.0,2412.0,2424.2,602320
2025-07-07 00:00:00+05:30,2423.3,2465.1,2421.0,2442.8,869054
2025-07-08 00:00:00+05:30,2440.5,2488.0,2437.3,2484.6,1136367
2025-07-09 00:00:00+05:30,2520.5,2535.0,2492.9,2498.9,2328785
2025-07-10 00:00:00+05:30,2507.3,2512.0,2445.1,2451.2,932978
2025-07-11 00:00:00+05:30,2447.5,2484.8,2435.5,2439.2,1050466
2025-07-14 00:00:00+05:30,2431.1,2448.6,2391.0,2401.6,891624
2025-07-15 00:00:00+05:30,2409.9,2415.0,2386.3,2393.5,610228
2025-07-16 00:00:00+05:30,2381.0,2422.4,2371.0,2410.5,1200913
2025-07-17 00:00:00+05:30,2404.1,2414.0,2394.0,2398.9,526164
2025-07-18 00:00:00+05:30,2400.6,2405.0,2372.3,2382.4,599552
2025-07-21 00:00:00+05:30,2382.4,2408.0,2360.8,2375.4,390934
2025-07-22 00:00:00+05:30,2375.4,2380.8,2361.3,2365.2,411317
2025-07-23 00:00:00+05:30,2363.0,2384.7,2352.6,2375.4,368999
2025-07-24 00:00:00+05:30,2375.4,2380.0,2341.0,2352.1,506960
2025-07-25 00:00:00+05:30,2340.0,2350.5,2325.8,2336.2,383636
2025-07-28 00:00:00+05:30,2336.2,2366.4,2320.0,2359.6,650364
2025-07-29 00:00:00+05:30,2359.0,2418.3,2325.0,2401.5,1742815
2025-07-30 00:00:00+05:30,2409.0,2443.8,2366.5,2415.8,1685818
2025-07-31 00:00:00+05:30,2401.4,2417.2,2373.5,2396.1,1274735
2025-08-01 00:00:00+05:30,2378.0,2472.0,2378.0,2431.0,2225293
2025-08-04 00:00:00+05:30,2443.2,2467.0,2439.6,2449.8,1165898
2025-08-05 00:00:00+05:30,2461.9,2463.7,2409.1,2436.8,659094
2025-08-06 00:00:00+05:30,2440.0,2505.6,2440.0,2491.2,2019109
2025-08-07 00:00:00+05:30,2484.1,2510.0,2466.9,2506.5,1502806
2025-08-08 00:00:00+05:30,2506.5,2511.7,2468.5,2475.6,1178226
2025-08-11 00:00:00+05:30,2463.9,2504.2,2452.0,2489.1,721135
2025-08-12 00:00:00+05:30,2489.1,2502.8,2474.0,2478.3,608984
2025-08-13 00:00:00+05:30,2479.8,2504.4,2461.2,2500.2,350844
2025-08-14 00:00:00+05:30,2505.0,2534.9,2497.7,2528.7,1088550
2025-08-18 00:00:00+05:30,2550.0,2595.0,2536.6,2587.4,1755615
2025-08-19 00:00:00+05:30,2587.4,2595.0,2561.2,2579.4,698587
2025-08-20 00:00:00+05:30,2578.0,2579.3,2563.4,2570.1,308028
2025-08-21 00:00:00+05:30,2574.9,2576.0,2559.3,2566.6,781082
2025-08-22 00:00:00+05:30,2562.8,2569.3,2501.1,2504.5,523774
2025-08-25 00:00:00+05:30,2516.0,2522.5,2476.0,2492.9,766497
2025-08-26 00:00:00+05:30,2481.1,2523.3,2468.0,2481.4,7106393
2025-08-28 00:00:00+05:30,2465.0,2528.0,2465.0,2489.0,1485769
2025-08-29 00:00:00+05:30,2491.0,2531.6,2490.0,2518.6,1798653
2025-09-01 00:00:00+05:30,2518.0,2577.8,2515.1,2570.2,1314833
2025-09-02 00:00:00+05:30,2569.0,2571.9,2531.0,2540.0,1024054
2025-09-03 00:00:00+05:30,2530.0,2565.1,2527.3,2553.9,925847
2025-09-04 00:00:00+05:30,2553.9,2583.0,2553.0,2568.6,933071
2025-09-05 00:00:00+05:30,2565.0,2602.0,2565.0,2579.9,1153436
2025-09-08 00:00:00+05:30,2579.9,2589.6,2526.4,2530.8,742880
2025-09-09 00:00:00+05:30,2540.0,2551.6,2524.8,2537.3,702450
2025-09-10 00:00:00+05:30,2537.3,2555.0,2525.1,2543.3,520584
2025-09-11 00:00:00+05:30,2541.0,2559.5,2535.7,2555.9,423961
2025-09-12 00:00:00+05:30,2560.0,2568.3,2537.2,2546.3,547539
2025-09-15 00:00:00+05:30,2535.1,2543.5,2498.0,2502.6,583051
2025-09-16 00:00:00+05:30,2495.0,2509.9,2474.5,2480.9,760790
2025-09-17 00:00:00+05:30,2482.0,2496.9,2480.8,2493.6,359627
2025-09-18 00:00:00+05:30,2497.9,2506.2,2469.3,2478.7,400796
2025-09-19 00:00:00+05:30,2475.0,2509.5,2468.5,2481.7,3731525
2025-09-22 00:00:00+05:30,2494.1,2503.0,2474.1,2482.7,872806
2025-09-23 00:00:00+05:30,2472.1,2483.8,2428.0,2446.9,1332111
2025-09-24 00:00:00+05:30,2446.0,2475.0,2443.2,2457.2,637749
2025-09-25 00:00:00+05:30,2458.5,2462.7,2388.0,2404.0,1518215
2025-09-26 00:00:00+05:30,2397.5,2400.0,2339.0,2342.8,1089446
2025-09-29 00:00:00+05:30,2342.9,2363.7,2329.2,2342.6,950369
2025-09-30 00:00:00+05:30,2352.0,2388.8,2340.0,2350.0,778874
2025-10-01 00:00:00+05:30,2353.4,2357.0,2321.2,2335.8,648279
2025-10-03 00:00:00+05:30,2342.2,2362.7,2336.1,2357.8,659872
2025-10-06 00:00:00+05:30,2355.0,2359.2,2334.1,2354.8,362107
2025-10-07 00:00:00+05:30,2355.0,2371.4,2346.0,2352.8,498524
2025-10-08 00:00:00+05:30,2360.0,2369.4,2320.0,2328.5,701799
2025-10-09 00:00:00+05:30,2328.5,2341.0,2323.8,2336.4,587567
2025-10-10 00:00:00+05:30,2338.9,2357.8,2336.6,2340.2,1117236
2025-10-13 00:00:00+05:30,2340.2,2366.6,2337.0,2342.5,667732
2025-10-14 00:00:00+05:30,2342.4,2355.0,2308.0,2318.1,353345
2025-10-15 00:00:00+05:30,2330.0,2384.0,2325.0,2375.1,753640
2025-10-16 00:00:00+05:30,2377.0,2420.8,2366.9,2409.7,715890
2025-10-17 00:00:00+05:30,2421.0,2544.0,2421.0,2507.8,3719960
2025-10-20 00:00:00+05:30,2507.8,2537.1,2500.7,2516.0,714986
2025-10-21 00:00:00+05:30,2513.0,2519.2,2484.0,2504.6,107942
2025-10-23 00:00:00+05:30,2518.9,2546.0,2496.8,2502.4,811738
2025-10-24 00:00:00+05:30,2495.0,2506.7,2486.3,2501.6,327596
2025-10-27 00:00:00+05:30,2501.6,2530.0,2499.6,2518.8,550089
2025-10-28 00:00:00+05:30,2515.0,2528.6,2492.0,2509.3,1103957
2025-10-29 00:00:00+05:30,2520.0,2550.8,2512.5,2538.7,615292
2025-10-30 00:00:00+05:30,2535.5,2538.7,2513.3,2523.5,736486
2025-10-31 00:00:00+05:30,2523.4,2530.0,2505.3,2510.8,609128
2025-11-03 00:00:00+05:30,2496.2,2515.3,2495.0,2512.2,425210
2025-11-04 00:00:00+05:30,2510.0,2521.0,2479.7,2486.7,527087
2025-11-06 00:00:00+05:30,2560.1,2631.0,2560.1,2602.9,4448622
2025-11-07 00:00:00+05:30,2602.9,2618.9,2585.0,2613.8,791663
2025-11-10 00:00:00+05:30,2613.8,2666.8,2611.1,2650.4,1706880
2025-11-11 00:00:00+05:30,2650.4,2664.9,2633.4,2657.2,776404
2025-11-12 00:00:00+05:30,2660.0,2838.7,2642.1,2769.8,2859196
2025-11-13 00:00:00+05:30,2858.9,2897.1,2840.0,2879.4,5933630
2025-11-14 00:00:00+05:30,2865.1,2909.9,2862.0,2906.4,2494076
2025-11-17 00:00:00+05:30,2906.4,2926.9,2880.0,2887.9,1230683
2025-11-18 00:00:00+05:30,2886.0,2916.0,2862.1,2906.0,1819066
2025-11-19 00:00:00+05:30,2914.0,2916.0,2887.2,2893.7,1387906
2025-11-20 00:00:00+05:30,2897.4,2906.1,2852.5,2859.8,1062883
2025-11-21 00:00:00+05:30,2869.0,2895.6,2854.1,2876.6,857340
2025-11-24 00:00:00+05:30,2876.0,2896.5,2864.5,2879.2,5404326
2025-11-25 00:00:00+05:30,2899.9,2908.5,2869.0,2875.8,972417
2025-11-26 00:00:00+05:30,2880.0,2896.2,2857.6,2874.0,570376
2025-11-27 00:00:00+05:30,2880.0,2914.5,2871.4,2879.1,1158685
2025-11-28 00:00:00+05:30,2880.0,2889.9,2855.8,2874.4,748446
2025-12-01 00:00:00+05:30,2877.7,2887.5,2848.0,2867.6,499153
2025-12-02 00:00:00+05:30,2867.0,2962.0,2861.2,2954.4,2102147
2025-12-03 00:00:00+05:30,2969.0,2969.2,2932.6,2953.5,1252456
2025-12-04 00:00:00+05:30,2950.0,2985.7,2934.0,2957.2,1466098
2025-12-05 00:00:00+05:30,2955.0,2973.5,2941.0,2968.5,944978
2025-12-08 00:00:00+05:30,2970.0,2974.5,2914.8,2928.3,983544
2025-12-09 00:00:00+05:30,2910.0,2913.5,2788.5,2796.0,1839391
2025-12-10 00:00:00+05:30,2810.0,2824.0,2796.7,2804.5,845073
2025-12-11 00:00:00+05:30,2800.0,2811.6,2763.2,2779.4,777422
2025-12-12 00:00:00+05:30,2795.0,2797.0,2746.0,2764.8,977696
2025-12-15 00:00:00+05:30,2773.1,2802.0,2758.7,2780.2,1029674
2025-12-16 00:00:00+05:30,2793.0,2808.0,2776.1,2790.9,916244
2025-12-17 00:00:00+05:30,2800.0,2806.5,2772.0,2785.7,636499
2025-12-18 00:00:00+05:30,2780.0,2793.8,2755.3,2759.7,417994
2025-12-19 00:00:00+05:30,2766.4,2812.4,2759.7,2799.9,3895542
