date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,742.4,754.4,728.0,734.2,1606775
2025-04-02 00:00:00+05:30,734.2,756.0,726.1,751.4,1645575
2025-04-03 00:00:00+05:30,749.8,766.8,736.5,764.7,1886545
2025-04-04 00:00:00+05:30,760.3,765.0,730.0,736.7,2420155
2025-04-07 00:00:00+05:30,670.0,716.6,670.0,705.8,2530050
2025-04-08 00:00:00+05:30,728.0,738.8,710.1,714.6,1706105
2025-04-09 00:00:00+05:30,714.6,725.4,701.4,718.0,1440460
2025-04-11 00:00:00+05:30,738.6,746.7,718.6,743.3,2189320
2025-04-15 00:00:00+05:30,758.0,769.4,750.5,766.6,2091215
2025-04-16 00:00:00+05:30,769.0,782.3,766.8,778.9,2324110
2025-04-17 00:00:00+05:30,780.0,788.4,767.5,776.5,2138280
2025-04-21 00:00:00+05:30,783.8,807.2,780.0,800.2,2462825
2025-04-22 00:00:00+05:30,803.8,824.8,798.0,801.0,2955585
2025-04-23 00:00:00+05:30,807.6,823.0,798.5,820.4,2176595
2025-04-24 00:00:00+05:30,822.0,825.4,805.7,809.2,2221810
2025-04-25 00:00:00+05:30,811.7,819.6,778.0,787.6,2473570
2025-04-28 00:00:00+05:30,786.8,795.0,780.0,788.8,1031250
2025-04-29 00:00:00+05:30,793.0,807.6,791.1,800.0,1267845
2025-04-30 00:00:00+05:30,800.0,804.0,776.7,781.3,1252040
2025-05-02 00:00:00+05:30,781.3,787.0,765.0,768.7,1117495
2025-05-05 00:00:00+05:30,772.0,772.2,755.0,761.6,2028795
2025-05-06 00:00:00+05:30,760.2,779.1,720.0,721.6,6528000
2025-05-07 00:00:00+05:30,710.0,733.8,710.0,728.5,4030035
2025-05-08 00:00:00+05:30,729.0,758.4,710.4,713.8,4905620
2025-05-09 00:00:00+05:30,695.0,704.0,683.0,695.9,5112925
2025-05-12 00:00:00+05:30,728.1,736.0,720.9,734.3,3367240
2025-05-13 00:00:00+05:30,735.6,736.0,721.3,725.2,2174085
2025-05-14 00:00:00+05:30,730.0,732.0,722.1,729.8,1812900
2025-05-15 00:00:00+05:30,732.0,747.0,728.0,745.3,2456205
2025-05-16 00:00:00+05:30,750.2,785.8,747.4,778.2,4404955
2025-05-19 00:00:00+05:30,780.8,797.6,776.5,790.3,2477500
2025-05-20 00:00:00+05:30,792.2,793.8,770.3,773.4,1758200
2025-05-21 00:00:00+05:30,770.8,784.8,767.7,777.5,1206620
2025-05-22 00:00:00+05:30,777.8,788.7,769.6,776.5,1488225
2025-05-23 00:00:00+05:30,781.0,781.7,769.9,776.9,1964275
2025-05-26 00:00:00+05:30,777.9,797.8,777.9,795.5,2015920
2025-05-27 00:00:00+05:30,802.0,803.0,790.6,795.3,1779565
2025-05-28 00:00:00+05:30,796.0,808.3,795.0,796.5,1677960
2025-05-29 00:00:00+05:30,802.0,804.0,790.7,794.5,943795
2025-05-30 00:00:00+05:30,794.4,807.4,789.2,792.2,1759015
2025-06-02 00:00:00+05:30,792.0,834.0,784.2,827.8,7136450
2025-06-03 00:00:00+05:30,838.6,849.4,828.2,838.9,7146245
2025-06-04 00:00:00+05:30,839.8,844.4,821.0,834.7,2555860
2025-06-05 00:00:00+05:30,838.8,854.0,834.2,849.7,4387815
2025-06-06 00:00:00+05:30,855.0,863.4,845.7,852.4,3985680
2025-06-09 00:00:00+05:30,858.8,864.9,849.8,854.3,2218735
2025-06-10 00:00:00+05:30,858.0,866.0,850.0,852.2,1752695
2025-06-11 00:00:00+05:30,850.0,866.0,836.0,845.8,3250695
2025-06-12 00:00:00+05:30,847.4,850.9,811.7,814.5,2606110
2025-06-13 00:00:00+05:30,786.0,801.2,785.2,796.1,2686490
2025-06-16 00:00:00+05:30,796.1,825.6,780.9,823.8,2542420
2025-06-17 00:00:00+05:30,823.8,849.4,819.3,836.3,4306560
